Iter	Sites_abc	CHM_mean	CHM_sd	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHMchange_mean	CHMchange_sd	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	
				0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69			0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	
115	62500	10.9018	1.27052	0.00024	0.000272	0.00048	0.00032	0.000352	0.001632	0.004368	0.011952	0.024416	0.067216	0.164144	0.412352	0.257216	0.05456	0.00048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-10.9018	1.27052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00048	0.05456	0.257216	0.412352	0.164144	0.067216	0.024416	0.011952	0.004368	0.001632	0.000352	0.00032	0.00048	0.000272	0.00024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
235	62500	15.4264	1.82841	0.000416	0.000384	0.000624	0.000512	0.000528	0.0008	0.0012	0.001632	0.002336	0.003472	0.007504	0.013904	0.025424	0.043584	0.0892	0.255552	0.31256	0.169472	0.062144	0.008752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.52464	1.85737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e-05	0	0.000112	0.000192	0.000208	0.000336	0.000672	0.001872	0.004432	0.011088	0.026656	0.052656	0.105488	0.302528	0.312832	0.104192	0.040128	0.018528	0.005024	0.003344	0.002464	0.001888	0.001072	0.001088	0.000832	0.000464	0.000448	0.000496	0.000336	0.000272	0.000208	0.000128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
355	62500	18.5438	2.40019	0.000256	0.000416	0.001024	0.00088	0.000576	0.00112	0.001536	0.00152	0.002288	0.001968	0.00296	0.004496	0.005376	0.009408	0.014816	0.032544	0.04616	0.092656	0.169408	0.234704	0.225856	0.127072	0.02264	0.00032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.11739	2.21124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2e-05	0.000176	0.00016	0.00024	0.00024	0.000448	0.000464	0.000704	0.001216	0.001664	0.002704	0.005568	0.009232	0.017152	0.027584	0.03976	0.2544	0.406064	0.133408	0.055056	0.015728	0.005232	0.004384	0.003136	0.002736	0.001808	0.001568	0.001776	0.001456	0.0012	0.0012	0.00072	0.000688	0.000608	0.000864	0.00032	0.00016	0.000112	3.2e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
475	62500	20.8875	2.75395	0.000304	0.000368	0.000976	0.000848	0.000608	0.000816	0.001488	0.001776	0.001712	0.002656	0.001936	0.002608	0.003824	0.004064	0.005072	0.010848	0.015968	0.022944	0.03584	0.059728	0.142048	0.223872	0.211072	0.158976	0.072304	0.017328	1.6e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.3437	2.45996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e-05	0	3.2e-05	9.6e-05	0.000128	0.000304	0.000352	0.000496	0.000736	0.000688	0.00096	0.00112	0.001312	0.002096	0.00288	0.004192	0.006896	0.010512	0.016208	0.022784	0.041216	0.300256	0.415504	0.119984	0.021408	0.004352	0.004112	0.002864	0.002704	0.001808	0.001424	0.001472	0.00152	0.00152	0.00112	0.001296	0.00112	0.001152	0.00064	0.000704	0.000464	0.000592	0.000448	0.000448	3.2e-05	3.2e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
595	62500	22.7462	3.07641	0.000272	0.000224	0.000688	0.000544	0.000752	0.00096	0.001392	0.001408	0.00264	0.002752	0.002256	0.002928	0.00272	0.002928	0.00344	0.006032	0.007552	0.008032	0.015872	0.024816	0.044624	0.080208	0.134336	0.187968	0.193408	0.171488	0.08576	0.01384	0.00016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.8587	2.71355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e-05	4.8e-05	4.8e-05	0.000176	0.000336	0.000336	0.000368	0.000464	0.00064	0.000736	0.00088	0.001152	0.001104	0.00128	0.001392	0.002064	0.003136	0.004672	0.007888	0.0104	0.01608	0.021648	0.165184	0.437264	0.249488	0.034272	0.006352	0.005088	0.00392	0.003664	0.002176	0.002112	0.001376	0.001424	0.00136	0.001168	0.001408	0.00144	0.00152	0.001136	0.000816	0.000864	0.001056	0.000608	0.000576	0.000256	0.00024	0.000144	0.000144	4.8e-05	3.2e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
715	62500	24.1967	3.48158	9.6e-05	0.0004	0.000816	0.000656	0.00056	0.001056	0.001456	0.00208	0.002688	0.00272	0.003296	0.003872	0.003536	0.003632	0.003488	0.003344	0.0044	0.006176	0.00872	0.012544	0.023184	0.033664	0.052688	0.092704	0.139392	0.193152	0.20088	0.148176	0.046896	0.003728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.45043	2.94285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e-05	3.2e-05	0.000128	0.00024	0.000208	0.000272	0.000304	0.000608	0.00072	0.000768	0.000992	0.000896	0.001152	0.001136	0.001648	0.001872	0.0024	0.003536	0.004992	0.007792	0.011856	0.015712	0.0808	0.371808	0.402752	0.044176	0.0052	0.004704	0.004416	0.00336	0.003296	0.001936	0.001696	0.001216	0.001168	0.001376	0.001296	0.001312	0.001744	0.002208	0.001888	0.00144	0.00104	0.001088	0.000816	0.000624	0.00064	0.000304	0.000256	9.6e-05	6.4e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
835	62500	25.2943	3.73917	0.000128	0.0004	0.000544	0.00072	0.000704	0.001504	0.001504	0.001744	0.002176	0.003152	0.003456	0.003024	0.004656	0.003392	0.004144	0.004384	0.004768	0.003792	0.00672	0.007904	0.013584	0.02032	0.032432	0.044128	0.071824	0.124288	0.180096	0.22464	0.16664	0.058672	0.00456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.09758	3.11277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2e-05	3.2e-05	0.000144	0.000208	0.00016	0.000288	0.000464	0.000416	0.000768	0.000768	0.0008	0.000976	0.000816	0.00112	0.001392	0.001312	0.001568	0.002144	0.00288	0.004144	0.0056	0.008112	0.01176	0.026416	0.245888	0.553248	0.085232	0.00472	0.004704	0.004016	0.003488	0.002992	0.002368	0.001408	0.00144	0.00112	0.000736	0.000656	0.000848	0.00184	0.001296	0.001792	0.002048	0.001456	0.001616	0.000832	0.00072	0.001232	0.000832	0.000576	0.000288	0.000176	4.8e-05	6.4e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
955	62500	26.0446	4.03905	0.000208	0.000464	0.000576	0.000848	0.000784	0.001504	0.001568	0.002304	0.002496	0.003648	0.00272	0.00416	0.00328	0.004432	0.006256	0.005296	0.004192	0.003936	0.004608	0.007008	0.009952	0.013824	0.021824	0.030096	0.04288	0.071888	0.12448	0.199168	0.23096	0.143648	0.050992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.750384	3.34768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2e-05	3.2e-05	3.2e-05	9.6e-05	0.000112	0.000304	0.000224	0.000336	0.000576	0.00048	0.000512	0.00088	0.000768	0.001008	0.001056	0.001408	0.001312	0.00152	0.001664	0.002496	0.003024	0.004	0.006976	0.008368	0.014688	0.155856	0.560208	0.182016	0.005968	0.005008	0.0044	0.003616	0.00328	0.003088	0.00224	0.001328	0.001168	0.00096	0.000976	0.000752	0.001232	0.000896	0.001168	0.001648	0.001792	0.002048	0.0016	0.001664	0.001536	0.00088	0.000848	0.000608	0.000688	0.000272	0.00024	0.000112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1075	62500	26.6273	4.08926	0.000176	0.000544	0.000624	0.000736	0.00056	0.000784	0.001392	0.001296	0.002112	0.003216	0.003232	0.004	0.004032	0.00528	0.005552	0.006512	0.006048	0.004976	0.00464	0.004928	0.008864	0.011648	0.01672	0.02072	0.027952	0.045744	0.080704	0.152096	0.242352	0.222192	0.109856	0.000512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.582656	3.18886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e-05	4.8e-05	6.4e-05	0.00016	0.000384	0.000288	0.000464	0.000624	0.000416	0.000624	0.00056	0.00072	0.000928	0.001056	0.001472	0.001296	0.001248	0.001456	0.002112	0.002144	0.003584	0.00528	0.007088	0.012848	0.10144	0.478416	0.332368	0.005616	0.004016	0.003216	0.00312	0.002544	0.002304	0.00144	0.001328	0.0016	0.001184	0.000832	0.000928	0.000816	0.000704	0.001472	0.001104	0.001568	0.001664	0.001536	0.001392	0.001072	0.000656	0.000704	0.00048	0.000496	0.000528	0.000416	0.00016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
