iter	d	freq
299	1	2682
299	2	1968
299	3	1719
299	4	1454
299	5	900
299	6	722
299	7	687
299	8	653
299	9	629
299	10	620
299	11	626
299	12	576
299	13	503
299	14	498
299	15	591
299	16	619
299	17	580
299	18	384
299	19	276
299	20	180
299	21	79
299	22	26
299	23	1
299	24	0
299	25	0
299	26	0
299	27	0
299	28	0
299	29	0
299	30	0
299	31	0
299	32	0
299	33	0
299	34	0
299	35	0
299	36	0
299	37	0
299	38	0
299	39	0
299	40	0
299	41	0
299	42	0
299	43	0
299	44	0
299	45	0
299	46	0
299	47	0
299	48	0
299	49	0
299	50	0
299	51	0
299	52	0
299	53	0
299	54	0
299	55	0
299	56	0
299	57	0
299	58	0
299	59	0
299	60	0
299	61	0
299	62	0
299	63	0
299	64	0
299	65	0
299	66	0
299	67	0
299	68	0
299	69	0
299	70	0
299	71	0
299	72	0
299	73	0
299	74	0
299	75	0
299	76	0
299	77	0
299	78	0
299	79	0
299	80	0
299	81	0
299	82	0
299	83	0
299	84	0
299	85	0
299	86	0
299	87	0
299	88	0
299	89	0
299	90	0
299	91	0
299	92	0
299	93	0
299	94	0
299	95	0
299	96	0
299	97	0
299	98	0
299	99	0
299	100	0
299	101	0
299	102	0
299	103	0
299	104	0
299	105	0
299	106	0
299	107	0
299	108	0
299	109	0
299	110	0
299	111	0
299	112	0
299	113	0
299	114	0
299	115	0
299	116	0
299	117	0
299	118	0
299	119	0
299	120	0
299	121	0
299	122	0
299	123	0
299	124	0
299	125	0
299	126	0
299	127	0
299	128	0
299	129	0
299	130	0
299	131	0
299	132	0
299	133	0
299	134	0
299	135	0
299	136	0
299	137	0
299	138	0
299	139	0
299	140	0
299	141	0
299	142	0
299	143	0
299	144	0
299	145	0
299	146	0
299	147	0
299	148	0
299	149	0
299	150	0
299	151	0
299	152	0
299	153	0
299	154	0
299	155	0
299	156	0
299	157	0
299	158	0
299	159	0
299	160	0
299	161	0
299	162	0
299	163	0
299	164	0
299	165	0
299	166	0
299	167	0
299	168	0
299	169	0
299	170	0
299	171	0
299	172	0
299	173	0
299	174	0
299	175	0
299	176	0
299	177	0
299	178	0
299	179	0
299	180	0
299	181	0
299	182	0
299	183	0
299	184	0
299	185	0
299	186	0
299	187	0
299	188	0
299	189	0
299	190	0
299	191	0
299	192	0
299	193	0
299	194	0
299	195	0
299	196	0
299	197	0
299	198	0
299	199	0
299	200	0
299	201	0
299	202	0
299	203	0
299	204	0
299	205	0
299	206	0
299	207	0
299	208	0
299	209	0
299	210	0
599	1	2478
599	2	1587
599	3	1410
599	4	1458
599	5	1412
599	6	689
599	7	316
599	8	211
599	9	143
599	10	136
599	11	121
599	12	100
599	13	124
599	14	121
599	15	151
599	16	143
599	17	154
599	18	204
599	19	167
599	20	162
599	21	141
599	22	149
599	23	145
599	24	142
599	25	157
599	26	168
599	27	158
599	28	146
599	29	131
599	30	113
599	31	103
599	32	95
599	33	77
599	34	65
599	35	41
599	36	25
599	37	15
599	38	2
599	39	0
599	40	0
599	41	0
599	42	0
599	43	0
599	44	0
599	45	0
599	46	0
599	47	0
599	48	0
599	49	0
599	50	0
599	51	0
599	52	0
599	53	0
599	54	0
599	55	0
599	56	0
599	57	0
599	58	0
599	59	0
599	60	0
599	61	0
599	62	0
599	63	0
599	64	0
599	65	0
599	66	0
599	67	0
599	68	0
599	69	0
599	70	0
599	71	0
599	72	0
599	73	0
599	74	0
599	75	0
599	76	0
599	77	0
599	78	0
599	79	0
599	80	0
599	81	0
599	82	0
599	83	0
599	84	0
599	85	0
599	86	0
599	87	0
599	88	0
599	89	0
599	90	0
599	91	0
599	92	0
599	93	0
599	94	0
599	95	0
599	96	0
599	97	0
599	98	0
599	99	0
599	100	0
599	101	0
599	102	0
599	103	0
599	104	0
599	105	0
599	106	0
599	107	0
599	108	0
599	109	0
599	110	0
599	111	0
599	112	0
599	113	0
599	114	0
599	115	0
599	116	0
599	117	0
599	118	0
599	119	0
599	120	0
599	121	0
599	122	0
599	123	0
599	124	0
599	125	0
599	126	0
599	127	0
599	128	0
599	129	0
599	130	0
599	131	0
