Iter	mean_ran	sd_ran	Height_output	Heightsd_output	CR_output	CRsd_output	CD_output	CDsd_output	P_output	Psd_output	N_output	Nsd_output	LMA_output	LMAsd_output	wsg_output	wsgsd_output	dmax_output	dmaxsd_output	Height_input	Heightsd_input	CR_input	CRsd_input	CD_input	CDsd_input	P_input	Psd_input	N_input	Nsd_input	LMA_input	LMAsd_input	wsg_input	wsgsd_input	dmax_input	dmaxsd_input
115	4936.37	nan	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	
235	5040.99	nan	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	
355	4957.81	nan	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	
475	5028.23	nan	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	
595	4932.18	nan	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	
715	5051.61	nan	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	
835	5067.74	nan	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	
955	5094.81	nan	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	
1075	5044.55	nan	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	
1152	5064.96	nan	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	
1195	5052.48	nan	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	
