Iter	Sites_abc	CHM_mean	CHM_sd	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHMchange_mean	CHMchange_sd	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	
				0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69			0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	
115	62500	10.2131	1.83741	0.00416	0.000752	0.00136	0.001456	0.002528	0.008816	0.024432	0.045456	0.060848	0.100272	0.18768	0.357312	0.174384	0.030384	0.00016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-10.2131	0.00450869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00048	0.05456	0.257216	0.412352	0.164144	0.067216	0.024416	0.011952	0.004368	0.001632	0.000352	0.00032	0.00048	0.000272	0.00024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
235	62500	14.4349	2.9208	0.005072	0.000752	0.00192	0.002512	0.003904	0.005504	0.008464	0.013328	0.016704	0.016912	0.022416	0.0276	0.039312	0.058848	0.104176	0.25552	0.247696	0.122432	0.042176	0.004752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.22179	0.00545141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e-05	0	0.000112	0.000192	0.000208	0.000336	0.000672	0.001872	0.004432	0.011088	0.026656	0.052656	0.105488	0.302528	0.312832	0.104192	0.040128	0.018528	0.005024	0.003344	0.002464	0.001888	0.001072	0.001088	0.000832	0.000464	0.000448	0.000496	0.000336	0.000272	0.000208	0.000128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
355	62500	17.274	3.90754	0.005344	0.000944	0.002496	0.003264	0.004576	0.009344	0.013504	0.011232	0.008608	0.007968	0.009152	0.010848	0.013264	0.018544	0.026512	0.042672	0.05792	0.102704	0.168496	0.20384	0.176224	0.088432	0.014	0.000112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.8391	0.0059481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2e-05	0.000176	0.00016	0.00024	0.00024	0.000448	0.000464	0.000704	0.001216	0.001664	0.002704	0.005568	0.009232	0.017152	0.027584	0.03976	0.2544	0.406064	0.133408	0.055056	0.015728	0.005232	0.004384	0.003136	0.002736	0.001808	0.001568	0.001776	0.001456	0.0012	0.0012	0.00072	0.000688	0.000608	0.000864	0.00032	0.00016	0.000112	3.2e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
475	62500	19.4414	4.56684	0.00584	0.000608	0.002192	0.0028	0.00416	0.008272	0.013616	0.015088	0.008912	0.006048	0.005776	0.006064	0.008064	0.009088	0.01184	0.017984	0.024976	0.032672	0.044992	0.074464	0.139984	0.19808	0.175728	0.120064	0.051664	0.011024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.16741	0.00627371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e-05	0	3.2e-05	9.6e-05	0.000128	0.000304	0.000352	0.000496	0.000736	0.000688	0.00096	0.00112	0.001312	0.002096	0.00288	0.004192	0.006896	0.010512	0.016208	0.022784	0.041216	0.300256	0.415504	0.119984	0.021408	0.004352	0.004112	0.002864	0.002704	0.001808	0.001424	0.001472	0.00152	0.00152	0.00112	0.001296	0.00112	0.001152	0.00064	0.000704	0.000464	0.000592	0.000448	0.000448	3.2e-05	3.2e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
595	62500	21.1397	5.16032	0.006416	0.000656	0.002	0.00264	0.003744	0.00832	0.01312	0.015952	0.010656	0.00664	0.005376	0.005472	0.00536	0.005648	0.006752	0.01016	0.012816	0.016016	0.02496	0.033504	0.055152	0.083376	0.132064	0.165824	0.161888	0.136352	0.060736	0.008368	3.2e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.6983	0.00658914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e-05	4.8e-05	4.8e-05	0.000176	0.000336	0.000336	0.000368	0.000464	0.00064	0.000736	0.00088	0.001152	0.001104	0.00128	0.001392	0.002064	0.003136	0.004672	0.007888	0.0104	0.01608	0.021648	0.165184	0.437264	0.249488	0.034272	0.006352	0.005088	0.00392	0.003664	0.002176	0.002112	0.001376	0.001424	0.00136	0.001168	0.001408	0.00144	0.00152	0.001136	0.000816	0.000864	0.001056	0.000608	0.000576	0.000256	0.00024	0.000144	0.000144	4.8e-05	3.2e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
715	62500	22.4731	5.68842	0.006288	0.000896	0.002576	0.0024	0.004032	0.00776	0.012272	0.016304	0.011696	0.007376	0.007008	0.006448	0.005184	0.005584	0.004976	0.005696	0.008512	0.01048	0.014912	0.019296	0.0316	0.04096	0.060592	0.09384	0.132256	0.169312	0.166016	0.112496	0.03112	0.002112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.33333	0.00686189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e-05	3.2e-05	0.000128	0.00024	0.000208	0.000272	0.000304	0.000608	0.00072	0.000768	0.000992	0.000896	0.001152	0.001136	0.001648	0.001872	0.0024	0.003536	0.004992	0.007792	0.011856	0.015712	0.0808	0.371808	0.402752	0.044176	0.0052	0.004704	0.004416	0.00336	0.003296	0.001936	0.001696	0.001216	0.001168	0.001376	0.001296	0.001312	0.001744	0.002208	0.001888	0.00144	0.00104	0.001088	0.000816	0.000624	0.00064	0.000304	0.000256	9.6e-05	6.4e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
835	62500	23.4662	6.08819	0.006032	0.000624	0.002064	0.003168	0.004464	0.00832	0.013104	0.015264	0.011888	0.00824	0.006944	0.006208	0.006368	0.005104	0.005488	0.005984	0.006288	0.007024	0.010736	0.01352	0.020304	0.027472	0.037616	0.050336	0.07656	0.120976	0.162624	0.185968	0.12872	0.040864	0.001728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.993152	0.00705722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2e-05	3.2e-05	0.000144	0.000208	0.00016	0.000288	0.000464	0.000416	0.000768	0.000768	0.0008	0.000976	0.000816	0.00112	0.001392	0.001312	0.001568	0.002144	0.00288	0.004144	0.0056	0.008112	0.01176	0.026416	0.245888	0.553248	0.085232	0.00472	0.004704	0.004016	0.003488	0.002992	0.002368	0.001408	0.00144	0.00112	0.000736	0.000656	0.000848	0.00184	0.001296	0.001792	0.002048	0.001456	0.001616	0.000832	0.00072	0.001232	0.000832	0.000576	0.000288	0.000176	4.8e-05	6.4e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
955	62500	24.1415	6.43192	0.006416	0.00064	0.001792	0.00312	0.004176	0.008928	0.013328	0.015504	0.011872	0.00904	0.007232	0.007136	0.005456	0.006704	0.007856	0.00616	0.005376	0.00576	0.007616	0.011184	0.014864	0.019584	0.026672	0.036224	0.048192	0.074448	0.124992	0.180304	0.188112	0.1084	0.032912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.67528	0.00731867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2e-05	3.2e-05	3.2e-05	9.6e-05	0.000112	0.000304	0.000224	0.000336	0.000576	0.00048	0.000512	0.00088	0.000768	0.001008	0.001056	0.001408	0.001312	0.00152	0.001664	0.002496	0.003024	0.004	0.006976	0.008368	0.014688	0.155856	0.560208	0.182016	0.005968	0.005008	0.0044	0.003616	0.00328	0.003088	0.00224	0.001328	0.001168	0.00096	0.000976	0.000752	0.001232	0.000896	0.001168	0.001648	0.001792	0.002048	0.0016	0.001664	0.001536	0.00088	0.000848	0.000608	0.000688	0.000272	0.00024	0.000112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1075	62500	24.6953	6.58941	0.006272	0.000768	0.001984	0.002784	0.003664	0.00784	0.012192	0.014944	0.011952	0.009536	0.007664	0.007712	0.006976	0.006624	0.007008	0.008464	0.007328	0.006064	0.005808	0.008144	0.012432	0.016096	0.02288	0.025888	0.03176	0.050128	0.084832	0.149648	0.209856	0.17264	0.079856	0.000256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.553792	0.00714295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e-05	4.8e-05	6.4e-05	0.00016	0.000384	0.000288	0.000464	0.000624	0.000416	0.000624	0.00056	0.00072	0.000928	0.001056	0.001472	0.001296	0.001248	0.001456	0.002112	0.002144	0.003584	0.00528	0.007088	0.012848	0.10144	0.478416	0.332368	0.005616	0.004016	0.003216	0.00312	0.002544	0.002304	0.00144	0.001328	0.0016	0.001184	0.000832	0.000928	0.000816	0.000704	0.001472	0.001104	0.001568	0.001664	0.001536	0.001392	0.001072	0.000656	0.000704	0.00048	0.000496	0.000528	0.000416	0.00016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
